shapeId,shapeType,shapeLabel,pointId,longitude,latitude,source
74,POLYGON,,12,73.11152922929281,33.68937405820406,
74,POLYGON,,13,73.11007010758871,33.68915980985947,
74,POLYGON,,14,73.1009720546102,33.68101797702649,
74,POLYGON,,15,73.09539305985922,33.67787530897675,
75,POLYGON,,0,73.08706748307699,33.66468271238321,
75,POLYGON,,1,73.09101569474691,33.670254581752744,
75,POLYGON,,2,73.10105788529867,33.66446840250744,
75,POLYGON,,3,73.1038902980184,33.66168232553908,
75,POLYGON,,4,73.10380446732992,33.659967771790384,
75,POLYGON,,5,73.10560691178793,33.65946768717774,
75,POLYGON,,6,73.10260283769125,33.658967599658574,
75,POLYGON,,7,73.09805381120199,33.65603845725125,
75,POLYGON,,8,73.09530722917074,33.654038010017196,
76,POLYGON,,0,73.10734166342256,33.659962086988344,
76,POLYGON,,1,73.11369313436983,33.657390192133164,
76,POLYGON,,2,73.12107457357881,33.657533077197385,
76,POLYGON,,3,73.12261952597139,33.654818220405886,
76,POLYGON,,4,73.12467946249483,33.65210327796686,
76,POLYGON,,5,73.13103093344209,33.65067432649352,
76,POLYGON,,6,73.13635243612764,33.651674595015876,
76,POLYGON,,7,73.13635243612764,33.655961328441535,
76,POLYGON,,8,73.131374256196,33.65667576325305,
76,POLYGON,,9,73.13240422445772,33.66153376266681,
76,POLYGON,,10,73.13326253134248,33.67039176133931,
76,POLYGON,,11,73.14201726156709,33.67639182281926,
76,POLYGON,,12,73.1339491768503,33.685819645017816,
76,POLYGON,,13,73.13000096518037,33.68724801273422,
76,POLYGON,,14,73.12450780111787,33.68824785601264,
76,POLYGON,,15,73.1258810921335,33.68139155425831,
76,POLYGON,,16,73.12390698629854,33.6805344780884,
76,POLYGON,,17,73.12304867941377,33.676606102986746,
76,POLYGON,,18,73.12081708151338,33.676534676323584,
76,POLYGON,,19,73.11643971640108,33.67674895613507,
76,POLYGON,,20,73.11206235128877,33.66946314298993,
76,POLYGON,,21,73.10759915548799,33.66539139033659,
77,PATH,,0,73.13287620763245,33.663784042744076,
77,PATH,,1,73.14094429234925,33.663355417981144,
77,PATH,,2,73.15253143529358,33.66435553910601,
77,PATH,,3,73.14180259923401,33.6760703778185,
77,PATH,,4,73.13330536107483,33.67028458982997,
77,PATH,,5,73.13287620763245,33.663784042744076,
78,PATH,,0,73.13382034520569,33.66371260543188,
79,PATH,,0,73.13459282140198,33.663926917190466,
80,PATH,,0,73.13279037694397,33.66385547999694,
80,PATH,,1,73.14060096959534,33.66314110479887,
80,PATH,,2,73.15253143529358,33.66428410226841,
80,PATH,,3,73.14171676854554,33.67621323185684,
80,PATH,,4,73.13313369969788,33.67007029391067,
80,PATH,,5,73.13279037694397,33.66385547999694,
81,PATH,,0,73.13776855687561,33.66649861665015,
81,PATH,,1,73.13287620763245,33.663641168060366,
81,PATH,,2,73.15184478978577,33.6644984126033,
